Nome della chiesa;Altri nomi;Data costruzione - Data ultimo intervento;Posizione della chiesa;Tipologia di complesso documentario;Posizione ultima del complesso documentario;Condizioni e vicende del complesso documentario;Contenuti citati;Personaggi connessi
Santi Giovanni e Paolo;Titulus Byzanti | Titulus Pammachi;IV sec. - XIX sec.;Via Santi Giovanni e Paolo, Roma;Biblioteca;Cappella originaria;NULL;NULL;Papa Agapeto
Sant'Agostino;NULL;XIII sec. - 1860;Piazza Sant'Agostino, Roma;Biblioteca;Monastero;Buone condizioni, conservata dallo Stato.;NULL;Cardinale Angelo Rocca | cardinale Holstenius | cardinale Norris |cardinale Passionei.
San Lorenzo al Verano;NULL;IV sec. - 1864;Verano, Roma;Biblioteca;NULL;Distrutta. Causa: invasione gotica del VI sec. ;Libri greci e latini;Papa Ilario
San Marco;San Marco in Pallacina;336 ca. - XVIII sec.;Piazza San Marco prezzo Piazza Venezia, Roma;Archivio;Sala capitolare;Disperso e distrutto quasi totalmente. Cause: varie alluvioni | sacco del 1527 | sacco del 1798.;NULL;NULL
Santa Croce in Gerusalemme;Basilica Heleniana;IV sec. - 1744;Piazza Santa Croce in Gerusalemme, Roma;Biblioteca;Monastero;Asportata dallo Stato. ;Dipinti del Panini nella sala studio;Cardinale Di Carvajal
San Lorenzo in Damaso;San Lorenzo in Prasina;380 - 1882;Piazza della Cancelleria, Roma;Archivi (Archivi della Chiesa | Archivio della basilica);Basilica sul lato settentrionale del cortile del Palazzo per la Cancelleria Apostolica;Archivi della Chiesa: trasferiti al Laterano nell'VII secolo. Archivio della basilica: bruciato nel sacco del 1527.;NULL;Papa Damaso
San Paolo;Basilica Alessandrina;IV sec. - XX sec. ;Via Ostiense, Roma;Archivio e biblioteca;Monastero;Parzialmente disperso. Cause: trasferimenti. ;Oltre 400 manoscritti cartacei | Codex Diplomaticus contenente volle di diplomi pontifici | Bibbia Carolingia (885) dell'885 ricchissima in miniature | pergamene;NULL
Santa Trinit… e Sant'Apollinare;NULL;VIII sec. - XVIII sec. ;Piazza di Sant'Apollinare, Roma;Biblioteca;Schola cantorum;Dispersa. Causa: moti rivoluzionari del 1798.;Testi musicali;NULL
Santa Maria in Via Lata;NULL;VII sec. - 1863;Corso Umberto I, Roma;Archivio;NULL;Buone condizioni.;Tombe (sparite);Cardinale Vitello Vitellozzi | famiglia Infessura
San Pietro al Vaticano;NULL;IV sec. - XIX sec.;Piazza San Pietro, Roma;Archivio;Piano superiore alle sale capitolari;Parzialmente disperso ma in buone condizioni. Cause: sacchi dei Longobardi nel VII e nell'XI sec. | sacco del Borbone nel 1527 | sequestri rivoluzionari del 1798. ;Bolle papali | Libri censuum | archivi di alcune abbazie | La vita di S. Giorgio con miniature di Scuola senese | il Codex dei trattati di Sant'Ilario di Poitiers | frammenti di Terenzio e Cicerone | 254 codici latini e greci;Cardinale Giordiano Orsini
